GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Sistema Gestión Pre-Sustentaciones UTEQ,ec.edu.uteq.presustentaciones.security.dto,LoginResponse,294,49,62,0,2,9,43,9,12,9
Sistema Gestión Pre-Sustentaciones UTEQ,ec.edu.uteq.presustentaciones.security.dto,RegisterRequest,235,0,46,0,6,0,38,0,15,0
Sistema Gestión Pre-Sustentaciones UTEQ,ec.edu.uteq.presustentaciones.security.dto,LoginResponse.LoginResponseBuilder,16,56,0,0,0,1,1,9,1,9
Sistema Gestión Pre-Sustentaciones UTEQ,ec.edu.uteq.presustentaciones.security.dto,LoginRequest,98,17,22,0,0,3,15,5,4,5
Sistema Gestión Pre-Sustentaciones UTEQ,ec.edu.uteq.presustentaciones.enums,EstadoSolicitud,75,0,8,0,12,0,7,0,3,0
Sistema Gestión Pre-Sustentaciones UTEQ,ec.edu.uteq.presustentaciones.security.service,CustomUserDetailsService,59,0,2,0,14,0,4,0,3,0
Sistema Gestión Pre-Sustentaciones UTEQ,ec.edu.uteq.presustentaciones.controllers,JuradoController,249,0,14,0,53,0,25,0,18,0
Sistema Gestión Pre-Sustentaciones UTEQ,ec.edu.uteq.presustentaciones.controllers,TutorController,83,0,0,0,21,0,8,0,8,0
Sistema Gestión Pre-Sustentaciones UTEQ,ec.edu.uteq.presustentaciones.controllers,NotificacionController,47,0,0,0,10,0,7,0,7,0
Sistema Gestión Pre-Sustentaciones UTEQ,ec.edu.uteq.presustentaciones.controllers,PermisoController,112,0,12,0,20,0,10,0,4,0
Sistema Gestión Pre-Sustentaciones UTEQ,ec.edu.uteq.presustentaciones.controllers,UsuarioController,217,21,8,0,50,4,18,3,14,3
Sistema Gestión Pre-Sustentaciones UTEQ,ec.edu.uteq.presustentaciones.controllers,AuditoriaController,88,0,0,0,6,0,3,0,3,0
Sistema Gestión Pre-Sustentaciones UTEQ,ec.edu.uteq.presustentaciones.controllers,RubricaController,167,0,2,0,37,0,11,0,10,0
Sistema Gestión Pre-Sustentaciones UTEQ,ec.edu.uteq.presustentaciones.controllers,AnteproyectoController,139,0,8,0,29,0,12,0,8,0
Sistema Gestión Pre-Sustentaciones UTEQ,ec.edu.uteq.presustentaciones.controllers,EvaluacionController,79,0,0,0,18,0,8,0,8,0
Sistema Gestión Pre-Sustentaciones UTEQ,ec.edu.uteq.presustentaciones.controllers,CronogramaController,106,0,2,0,17,0,11,0,10,0
Sistema Gestión Pre-Sustentaciones UTEQ,ec.edu.uteq.presustentaciones.controllers,EstadoTiempoRealController,263,0,12,0,40,0,16,0,10,0
Sistema Gestión Pre-Sustentaciones UTEQ,ec.edu.uteq.presustentaciones.controllers,EstudianteController,57,0,0,0,12,0,6,0,6,0
Sistema Gestión Pre-Sustentaciones UTEQ,ec.edu.uteq.presustentaciones.controllers,RolController,240,0,16,0,47,0,15,0,7,0
Sistema Gestión Pre-Sustentaciones UTEQ,ec.edu.uteq.presustentaciones.controllers,EvaluacionJuradoController,82,0,4,0,17,0,6,0,4,0
Sistema Gestión Pre-Sustentaciones UTEQ,ec.edu.uteq.presustentaciones.controllers,SolicitudController,247,0,0,0,55,0,19,0,19,0
Sistema Gestión Pre-Sustentaciones UTEQ,ec.edu.uteq.presustentaciones.controllers,TutoriaController,349,0,20,0,80,0,25,0,15,0
Sistema Gestión Pre-Sustentaciones UTEQ,ec.edu.uteq.presustentaciones.controllers,ExternalApiController,20,0,0,0,5,0,3,0,3,0
Sistema Gestión Pre-Sustentaciones UTEQ,ec.edu.uteq.presustentaciones.controllers,ActaController,106,0,0,0,29,0,7,0,7,0
Sistema Gestión Pre-Sustentaciones UTEQ,ec.edu.uteq.presustentaciones.controllers,CatalogoController,724,0,102,0,136,0,72,0,21,0
Sistema Gestión Pre-Sustentaciones UTEQ,ec.edu.uteq.presustentaciones.controllers,GlobalExceptionHandler,45,16,2,0,13,7,4,3,3,3
Sistema Gestión Pre-Sustentaciones UTEQ,ec.edu.uteq.presustentaciones.controllers,RubricaEvaluacionController,81,0,2,0,18,0,8,0,7,0
Sistema Gestión Pre-Sustentaciones UTEQ,ec.edu.uteq.presustentaciones.controllers,AuthController,254,116,28,0,56,26,19,3,5,3
Sistema Gestión Pre-Sustentaciones UTEQ,ec.edu.uteq.presustentaciones.controllers,ObservacionesController,22,0,0,0,5,0,2,0,2,0
Sistema Gestión Pre-Sustentaciones UTEQ,ec.edu.uteq.presustentaciones.controllers,ReporteController,1147,0,66,0,142,0,61,0,28,0
Sistema Gestión Pre-Sustentaciones UTEQ,ec.edu.uteq.presustentaciones.controllers,DocenteController,42,0,0,0,12,0,6,0,6,0
Sistema Gestión Pre-Sustentaciones UTEQ,ec.edu.uteq.presustentaciones.controllers,SalaController,28,0,0,0,6,0,5,0,5,0
Sistema Gestión Pre-Sustentaciones UTEQ,ec.edu.uteq.presustentaciones.security,RateLimiterService,8,36,1,3,2,9,1,3,0,2
Sistema Gestión Pre-Sustentaciones UTEQ,ec.edu.uteq.presustentaciones.security,RateLimitingFilter,31,46,5,5,7,11,4,4,0,3
Sistema Gestión Pre-Sustentaciones UTEQ,ec.edu.uteq.presustentaciones.services,EvaluacionServiceImpl,280,353,25,27,42,69,34,14,14,8
Sistema Gestión Pre-Sustentaciones UTEQ,ec.edu.uteq.presustentaciones.services,JuradoServiceImpl,572,535,40,20,96,108,63,18,35,14
Sistema Gestión Pre-Sustentaciones UTEQ,ec.edu.uteq.presustentaciones.services,ExternalApiServiceImpl,79,100,1,1,15,32,5,6,4,6
Sistema Gestión Pre-Sustentaciones UTEQ,ec.edu.uteq.presustentaciones.services,AnteproyectoServiceImpl,138,287,14,14,27,69,17,11,6,8
Sistema Gestión Pre-Sustentaciones UTEQ,ec.edu.uteq.presustentaciones.services,PermisoService,0,30,1,7,0,7,1,5,0,2
Sistema Gestión Pre-Sustentaciones UTEQ,ec.edu.uteq.presustentaciones.services,SolicitudServiceImpl,442,657,32,28,72,134,50,21,26,15
