GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Sistema Gestión Pre-Sustentaciones UTEQ,ec.edu.uteq.presustentaciones.security.dto,LoginResponse,294,49,62,0,2,9,43,9,12,9
Sistema Gestión Pre-Sustentaciones UTEQ,ec.edu.uteq.presustentaciones.security.dto,RegisterRequest,197,38,46,0,0,6,27,11,4,11
Sistema Gestión Pre-Sustentaciones UTEQ,ec.edu.uteq.presustentaciones.security.dto,LoginResponse.LoginResponseBuilder,16,56,0,0,0,1,1,9,1,9
Sistema Gestión Pre-Sustentaciones UTEQ,ec.edu.uteq.presustentaciones.security.dto,LoginRequest,98,17,22,0,0,3,15,5,4,5
Sistema Gestión Pre-Sustentaciones UTEQ,ec.edu.uteq.presustentaciones.enums,EstadoSolicitud,75,0,8,0,12,0,7,0,3,0
Sistema Gestión Pre-Sustentaciones UTEQ,ec.edu.uteq.presustentaciones.security.service,SolicitudAccessService,1,147,9,23,0,24,9,11,0,4
Sistema Gestión Pre-Sustentaciones UTEQ,ec.edu.uteq.presustentaciones.security.service,CustomUserDetailsService,53,6,2,0,13,1,3,1,2,1
Sistema Gestión Pre-Sustentaciones UTEQ,ec.edu.uteq.presustentaciones.security.service,UsuarioActualService,62,9,6,0,12,1,8,1,5,1
Sistema Gestión Pre-Sustentaciones UTEQ,ec.edu.uteq.presustentaciones.controllers,JuradoController,0,269,3,11,0,53,3,23,0,19
Sistema Gestión Pre-Sustentaciones UTEQ,ec.edu.uteq.presustentaciones.controllers,TutorController,0,83,0,0,0,21,0,8,0,8
Sistema Gestión Pre-Sustentaciones UTEQ,ec.edu.uteq.presustentaciones.controllers,NotificacionController,108,6,0,0,23,3,7,1,7,1
Sistema Gestión Pre-Sustentaciones UTEQ,ec.edu.uteq.presustentaciones.controllers,PermisoController,0,112,0,12,0,20,0,10,0,4
Sistema Gestión Pre-Sustentaciones UTEQ,ec.edu.uteq.presustentaciones.controllers,UsuarioController,281,67,8,0,63,14,19,4,15,4
Sistema Gestión Pre-Sustentaciones UTEQ,ec.edu.uteq.presustentaciones.controllers,AuditoriaController,82,6,0,0,5,1,2,1,2,1
Sistema Gestión Pre-Sustentaciones UTEQ,ec.edu.uteq.presustentaciones.controllers,RubricaController,158,9,2,0,36,1,10,1,9,1
Sistema Gestión Pre-Sustentaciones UTEQ,ec.edu.uteq.presustentaciones.controllers,TemaController,13,137,3,3,3,23,4,14,1,14
Sistema Gestión Pre-Sustentaciones UTEQ,ec.edu.uteq.presustentaciones.controllers,AnteproyectoController,136,6,8,0,28,3,11,1,7,1
Sistema Gestión Pre-Sustentaciones UTEQ,ec.edu.uteq.presustentaciones.controllers,EvaluacionController,0,79,0,0,0,18,0,8,0,8
Sistema Gestión Pre-Sustentaciones UTEQ,ec.edu.uteq.presustentaciones.controllers,CronogramaController,0,106,0,2,0,17,0,11,0,10
Sistema Gestión Pre-Sustentaciones UTEQ,ec.edu.uteq.presustentaciones.controllers,EstadoTiempoRealController,245,18,12,0,39,1,15,1,9,1
Sistema Gestión Pre-Sustentaciones UTEQ,ec.edu.uteq.presustentaciones.controllers,EstudianteController,51,6,0,0,11,1,5,1,5,1
Sistema Gestión Pre-Sustentaciones UTEQ,ec.edu.uteq.presustentaciones.controllers,RolController,0,240,0,16,0,47,0,15,0,7
Sistema Gestión Pre-Sustentaciones UTEQ,ec.edu.uteq.presustentaciones.controllers,EvaluacionJuradoController,11,77,0,4,4,17,0,6,0,4
Sistema Gestión Pre-Sustentaciones UTEQ,ec.edu.uteq.presustentaciones.controllers,ProgresoTitulacionController,0,29,0,0,0,4,0,3,0,3
Sistema Gestión Pre-Sustentaciones UTEQ,ec.edu.uteq.presustentaciones.controllers,SolicitudController,27,366,1,7,5,76,2,26,1,23
Sistema Gestión Pre-Sustentaciones UTEQ,ec.edu.uteq.presustentaciones.controllers,TutoriaController,21,347,2,18,6,77,2,23,0,15
Sistema Gestión Pre-Sustentaciones UTEQ,ec.edu.uteq.presustentaciones.controllers,ExternalApiController,10,10,0,0,3,2,1,2,1,2
Sistema Gestión Pre-Sustentaciones UTEQ,ec.edu.uteq.presustentaciones.controllers,ChatbotController,0,14,0,0,0,2,0,2,0,2
Sistema Gestión Pre-Sustentaciones UTEQ,ec.edu.uteq.presustentaciones.controllers,ActaController,201,15,0,0,45,5,12,2,12,2
Sistema Gestión Pre-Sustentaciones UTEQ,ec.edu.uteq.presustentaciones.controllers,CatalogoController,21,703,18,84,0,136,18,54,0,21
Sistema Gestión Pre-Sustentaciones UTEQ,ec.edu.uteq.presustentaciones.controllers,GlobalExceptionHandler,37,53,0,2,14,17,4,6,4,5
Sistema Gestión Pre-Sustentaciones UTEQ,ec.edu.uteq.presustentaciones.controllers,RubricaEvaluacionController,81,9,2,0,23,1,7,1,6,1
Sistema Gestión Pre-Sustentaciones UTEQ,ec.edu.uteq.presustentaciones.controllers,AuthController,29,392,16,20,5,88,16,10,1,7
Sistema Gestión Pre-Sustentaciones UTEQ,ec.edu.uteq.presustentaciones.controllers,ObservacionesController,16,6,0,0,4,1,1,1,1,1
Sistema Gestión Pre-Sustentaciones UTEQ,ec.edu.uteq.presustentaciones.controllers,ReporteController,0,1190,0,66,0,148,0,67,0,34
Sistema Gestión Pre-Sustentaciones UTEQ,ec.edu.uteq.presustentaciones.controllers,DocenteController,10,79,0,8,2,21,2,10,2,6
Sistema Gestión Pre-Sustentaciones UTEQ,ec.edu.uteq.presustentaciones.controllers,SalaController,22,6,0,0,5,1,4,1,4,1
Sistema Gestión Pre-Sustentaciones UTEQ,ec.edu.uteq.presustentaciones.controllers,RecursoTitulacionController,0,65,0,4,0,14,0,8,0,6
Sistema Gestión Pre-Sustentaciones UTEQ,ec.edu.uteq.presustentaciones.security,RateLimiterService,8,36,1,3,2,9,1,3,0,2
Sistema Gestión Pre-Sustentaciones UTEQ,ec.edu.uteq.presustentaciones.security,RateLimitingFilter,31,46,5,5,7,11,4,4,0,3
Sistema Gestión Pre-Sustentaciones UTEQ,ec.edu.uteq.presustentaciones.services,EvaluacionServiceImpl,295,443,31,39,44,86,39,23,13,14
